sample_id,treatment,block,fungi_abundance,bacteria_abundance,fungi_bacteria_ratio,pH,organic_carbon,nitrogen,carbon_nitrogen_ratio,ancient_grass_cover,modern_grass_cover,total_grass_cover,litter_cover
C5N60,U,C,4060000,3660000,1.11,4.38,1.29,0.057,22.63157895,20,12.5,32.5,75
C5S20,U,C,12700000,8410000,1.51,4.25,2.845,0.097,29.32989691,25,5,30,60
C5S40,U,C,6100000,4710000,1.29,4.68,1.135,0.05,22.7,45,5,50,50
C5S60,U,C,2570000,1850000,1.39,4.66,0.927,0.035,26.48571429,7.5,0,7.5,85
C6N20,E2,C,3680000,2730000,1.35,4.72,1.838,0.066,27.84848485,15,15,30,80
C6N40,E2,C,7590000,6520000,1.16,5.02,1.456,0.061,23.86885246,15,20,35,85
C6N60,E2,C,2400000,1850000,1.3,4.75,1.437,0.06,23.95,10,30,40,100
C6S20,E2,C,2330000,1610000,1.45,4.8,1.506,0.063,23.9047619,40,31,71,60
C6S40,E2,C,3610000,2540000,1.42,4.67,1.012,0.044,23,20,82.5,102.5,25
C6S60,E2,C,4380000,2110000,2.07,4.66,1.474,0.047,31.36170213,22.5,42.5,65,50
,,,,,,,,,,29.27777778,48.16666667,77.44444444,41.33838384
